,name,group,source_nmi,infom/iid,infom/independent,cinfom/iid,cinfom/independent,seed
41,diagonal_strengthen:500,diagonal_strengthen,0.005,0.7300940978710687,0.7345460311771447,0.41823657055833324,0.4180098068701966,412
42,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7732908903789244,0.785536773935122,0.44977205291993516,0.45022914345666015,412
43,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.705280903201207,0.7302036692195146,0.3920998713678686,0.39191179716289226,412
44,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.7102919103994505,0.7575632806710019,0.42761522346292896,0.428397579577515,412
45,independent,diagonal_strengthen,0.0,0.7037643942745456,0.7037643942745456,0.37797860640774633,0.37797860640774633,413
46,independent,diagonal_remove,0.0,0.7037643942745456,0.7037643942745456,0.37797860640774633,0.37797860640774633,413
47,independent,corner,0.0,0.7037643942745456,0.7037643942745456,0.37797860640774633,0.37797860640774633,413
48,corner:6,corner,0.004,0.716688334460971,0.717441108571097,0.35043917256195783,0.35222435906597444,413
49,corner:8,corner,0.013,0.7346669233468645,0.7385877282611261,0.37722629229842164,0.3784304943720456,413
50,corner:10,corner,0.026,0.7665036798313632,0.7764093452872326,0.3780048436639337,0.3755300102383592,413
51,corner:12,corner,0.043,0.7766635108896698,0.7813414909373553,0.4313971341294626,0.4024267938589088,413
52,diagonal_remove:0,diagonal_remove,0.007,0.7483600512556743,0.7527405473989364,0.4015719376803389,0.39769334971860937,413
53,diagonal_remove:1,diagonal_remove,0.015,0.7280496058147856,0.7481764269236335,0.40582839126401354,0.40512259671697276,413
54,diagonal_remove:2,diagonal_remove,0.026,0.7330318436670488,0.7642268741031217,0.38726197274316493,0.3883098328146697,413
55,diagonal_remove:3,diagonal_remove,0.039,0.741259959880373,0.7488443312566287,0.40791846112422037,0.4007402398558908,413
56,diagonal_strengthen:500,diagonal_strengthen,0.005,0.7520707157878939,0.7552826482998625,0.4016339799911078,0.4017348063244702,413
57,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.6265698357331753,0.6423620216296492,0.2803159657796474,0.2802733583721741,413
58,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.7482091458953711,0.7667156009346348,0.4143004858267482,0.41405337142687504,413
59,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.7398364741229939,0.7886593229885076,0.4091548722484101,0.4131045819617434,413
